model_key,model,label,architecture,context_length,batch_size,repeat,elapsed_s,input_tokens,output_tokens,tokens_per_second
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,128,4,0,0.029156685806810856,512,4,17560.294863156203
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,128,4,1,0.024663120042532682,512,4,20759.741635163453
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,128,4,2,0.027458122931420803,512,4,18646.57687194304
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,256,4,0,0.04803857579827309,1024,4,21316.20230166797
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,256,4,1,0.04588994523510337,1024,4,22314.25630939072
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,256,4,2,0.04549796786159277,1024,4,22506.49969939454
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,512,4,0,0.0798179330304265,2048,4,25658.39432623875
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,512,4,1,0.07986939372494817,2048,4,25641.86235158916
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,512,4,2,0.07884312514215708,2048,4,25975.63194390608
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,1024,4,0,0.15252191992476583,4096,4,26855.156308158366
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,1024,4,1,0.15207046130672097,4096,4,26934.882453854774
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,1024,4,2,0.15126215619966388,4096,4,27078.815368685733
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,2048,4,0,0.3018531813286245,8192,4,27139.021573145033
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,2048,4,1,0.3027674090117216,8192,4,27057.073371073595
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,2048,4,2,0.3031191457994282,8192,4,27025.676581381595
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,3072,4,0,0.4625680330209434,12288,4,26564.741017120057
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,3072,4,1,0.4628897411748767,12288,4,26546.278534519683
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,3072,4,2,0.46262392681092024,12288,4,26561.531489966033
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,4095,4,0,0.6342434911057353,16380,4,25826.043514365803
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,4095,4,1,0.6349260369315743,16380,4,25798.280503915237
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,4095,4,2,0.6348067470826209,16380,4,25803.1283934481
