model_key,model,label,architecture,parallel_generations,prompt_length,output_length,repeat,elapsed_s,generated_tokens,tokens_per_second
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,1,32,512,0,5.519834842067212,512,92.75639845199659
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,1,32,512,1,5.52146131824702,512,92.729074875155
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,1,32,512,2,5.5267390022054315,512,92.64052451105212
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,2,32,512,0,5.607808702159673,1024,182.60251987654968
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,2,32,512,1,5.620776388328522,1024,182.18123783154303
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,2,32,512,2,5.60839929478243,1024,182.583290913798
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,4,32,512,0,5.752092415932566,2048,356.0443490663154
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,4,32,512,1,5.755108576733619,2048,355.8577518901246
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,4,32,512,2,5.75966040417552,2048,355.5765194967542
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,8,32,512,0,6.088621493894607,4096,672.7302730359053
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,8,32,512,1,6.089616723358631,4096,672.620328351456
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,8,32,512,2,6.092742923181504,4096,672.2752053784593
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,16,32,512,0,6.657100658863783,8192,1230.5657402209372
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,16,32,512,1,6.657600391190499,8192,1230.4733715829288
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,16,32,512,2,6.657396235968918,8192,1230.5111051885192
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,32,32,512,0,7.955125195905566,16384,2059.5527532907595
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,32,32,512,1,7.953520189970732,16384,2059.968367297285
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,32,32,512,2,7.950867020059377,16384,2060.65576982542
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,64,32,512,0,12.665597967337817,32768,2587.1656501732077
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,64,32,512,1,12.657143827993423,32768,2588.893706613968
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,64,32,512,2,12.652681906707585,32768,2589.80667036517
